city_id,city_x,city_y,text_region_filename,distance_from_city,transcribed_text,confidence,notes
55,11270,3962,city0055_region1,21.6,,,
55,11270,3962,city0055_region2,48.3,,,
56,6116,3651,city0056_region0,0.0,,,
56,6116,3651,city0056_region1,14.2,,,
56,6116,3651,city0056_region2,57.0,,,
57,11781,3181,city0057_region0,20.6,,,
57,11781,3181,city0057_region1,53.5,,,
57,11781,3181,city0057_region2,58.0,,,
58,11258,5176,city0058_region0,15.6,,,
58,11258,5176,city0058_region1,18.0,,,
58,11258,5176,city0058_region2,46.1,,,
59,10086,2306,city0059_region0,5.1,,,
59,10086,2306,city0059_region1,35.0,,,
59,10086,2306,city0059_region2,35.8,,,
60,6648,3231,city0060_region0,28.2,,,
60,6648,3231,city0060_region1,37.6,,,
60,6648,3231,city0060_region2,46.1,,,
61,10527,4629,city0061_region0,1.0,,,
61,10527,4629,city0061_region1,19.2,,,
61,10527,4629,city0061_region2,92.1,,,
62,7935,4399,city0062_region0,15.8,,,
62,7935,4399,city0062_region1,44.3,,,
62,7935,4399,city0062_region2,66.0,,,
63,9749,3848,city0063_region0,30.1,,,
63,9749,3848,city0063_region1,63.0,,,
63,9749,3848,city0063_region2,67.6,,,
64,12581,775,city0064_region0,16.6,,,
64,12581,775,city0064_region1,94.0,,,
64,12581,775,city0064_region2,96.8,,,
65,10551,3945,city0065_region0,7.6,,,
65,10551,3945,city0065_region1,54.9,,,
65,10551,3945,city0065_region2,63.5,,,
66,7575,4869,city0066_region0,15.0,,,
66,7575,4869,city0066_region1,35.4,,,
66,7575,4869,city0066_region2,56.4,,,
67,10665,4744,city0067_region0,17.9,,,
67,10665,4744,city0067_region1,57.4,,,
67,10665,4744,city0067_region2,71.6,,,
68,10771,1568,city0068_region0,18.4,,,
68,10771,1568,city0068_region1,38.2,,,
68,10771,1568,city0068_region2,59.4,,,
69,9375,5026,city0069_region0,13.6,,,
69,9375,5026,city0069_region1,14.9,,,
69,9375,5026,city0069_region2,42.4,,,
70,10925,4410,city0070_region0,10.6,,,
70,10925,4410,city0070_region1,10.6,,,
70,10925,4410,city0070_region2,58.1,,,
71,6798,3937,city0071_region0,18.4,,,
71,6798,3937,city0071_region1,57.9,,,
71,6798,3937,city0071_region2,62.2,,,
72,1915,2125,city0072_region0,7.2,,,
72,1915,2125,city0072_region1,79.1,,,
72,1915,2125,city0072_region2,80.6,,,
73,9594,4772,city0073_region0,11.4,,,
73,9594,4772,city0073_region1,38.8,,,
