city_id,city_x,city_y,text_crop_filename,distance_from_city,transcribed_name
307,10845,4004,city0307_region0,43.9,
308,12091,2672,city0308_region0,6.1,
309,12286,2794,city0309_region0,19.0,
310,9172,2578,city0310_region0,38.9,
311,11988,5451,city0311_region0,12.0,
312,8747,3729,city0312_region0,29.2,
313,11167,4532,city0313_region0,4.5,
314,3504,1261,city0314_region0,5.0,
315,11576,4479,city0315_region0,44.1,
316,12448,3266,city0316_region0,17.2,
317,7073,3572,city0317_region0,20.0,
318,4003,2109,city0318_region0,18.7,
319,9227,4044,city0319_region0,19.9,
320,12351,3344,city0320_region0,8.1,
321,11591,4676,city0321_region0,23.8,
322,3165,3099,city0322_region0,12.7,
323,10635,4645,city0323_region0,28.0,
324,6152,2794,city0324_region0,14.4,
325,3041,2643,city0325_region0,13.0,
326,6658,1572,city0326_region0,22.0,
327,4830,1810,city0327_region0,20.2,
328,4753,2176,city0328_region0,8.5,
329,6611,2293,city0329_region0,36.8,
330,8854,3610,city0330_region0,16.6,
331,4569,3237,city0331_region0,11.7,
332,2945,2398,city0332_region0,6.7,
333,1496,4004,city0333_region0,50.1,
334,4018,2571,city0334_region0,12.8,
335,9525,1250,city0335_region0,25.5,
336,8761,4381,city0336_region0,16.4,
337,4933,2234,city0337_region0,10.0,
338,7766,4410,city0338_region0,40.6,
339,7736,4752,city0339_region0,24.2,
340,11583,3430,city0340_region0,9.2,
341,10771,4895,city0341_region0,17.7,
342,5423,2629,city0342_region0,13.5,
343,12638,2968,city0343_region0,8.5,
344,6694,2424,city0344_region0,12.0,
345,12631,2696,city0345_region0,20.0,
346,4717,2084,city0346_region0,11.7,
347,10024,3694,city0347_region0,18.4,
348,11791,3589,city0348_region0,16.8,
349,11717,2573,city0349_region0,11.3,
350,5059,2509,city0350_region0,10.8,
351,10575,3762,city0351_region0,32.8,
352,3999,2701,city0352_region0,21.1,
353,8316,4064,city0353_region0,6.1,
354,4914,1537,city0354_region0,14.0,
355,9026,3506,city0355_region0,24.8,
356,6405,5585,city0356_region0,5.0,
357,10300,4913,city0357_region0,15.0,
358,2760,3226,city0358_region0,15.0,
359,11016,2602,city0359_region0,33.8,
360,2765,4802,city0360_region0,16.6,
361,8148,5485,city0361_region0,46.7,
362,6711,2141,city0362_region0,11.0,
363,8993,3267,city0363_region0,19.0,
364,3028,2460,city0364_region0,17.0,
365,6835,926,city0365_region0,23.7,
366,8526,926,city0366_region0,1.4,
367,2857,3240,city0367_region0,15.3,
368,5276,2287,city0368_region0,9.2,
369,12112,3687,city0369_region0,15.3,
370,12718,2649,city0370_region0,16.3,
371,5332,5455,city0371_region0,43.3,
372,8851,4167,city0372_region0,19.7,
373,8030,2024,city0373_region0,19.2,
374,2406,3167,city0374_region0,18.4,
375,3105,3024,city0375_region0,10.8,
376,3386,1756,city0376_region0,33.8,
377,6615,3471,city0377_region0,31.4,
378,3326,2335,city0378_region0,0.0,
379,3478,2780,city0379_region0,7.1,
380,11962,3423,city0380_region0,21.9,
381,6459,5160,city0381_region0,11.4,
382,4913,1974,city0382_region0,11.2,
383,7028,4362,city0383_region0,43.8,
384,7267,1467,city0384_region0,5.1,
385,6175,1079,city0385_region0,22.1,
386,10899,3215,city0386_region0,33.1,
387,11483,4093,city0387_region0,5.0,
388,3403,450,city0388_region0,31.0,
389,6279,2314,city0389_region0,10.0,
390,11308,4812,city0390_region0,8.6,
391,11625,4762,city0391_region0,22.8,
392,4723,1810,city0392_region0,12.8,
393,6308,2446,city0393_region0,10.4,
394,3671,2738,city0394_region0,24.6,
395,8500,3378,city0395_region0,12.5,
396,2061,3378,city0396_region0,12.0,
397,2397,684,city0397_region0,13.0,
398,4882,1732,city0398_region0,14.3,
399,3667,2618,city0399_region0,19.0,
400,12529,3302,city0400_region0,15.7,
401,11032,4370,city0401_region0,7.1,
402,11606,4025,city0402_region0,19.9,
403,10884,4642,city0403_region0,29.3,
404,12318,1436,city0404_region0,8.2,
405,4462,1863,city0405_region0,9.4,
406,7029,3711,city0406_region0,3.2,
407,8518,3661,city0407_region0,13.6,
408,3154,2477,city0408_region0,10.8,
409,7056,2585,city0409_region0,57.0,
410,9457,2158,city0410_region0,10.3,
411,8013,1737,city0411_region0,30.4,
412,11308,4705,city0412_region0,8.5,
413,4130,2999,city0413_region0,13.3,
414,6836,2407,city0414_region0,27.7,
415,6739,1651,city0415_region0,16.6,
416,6552,3193,city0416_region0,37.2,
417,10756,4694,city0417_region0,19.7,
418,10860,4891,city0418_region0,31.8,
419,3311,2567,city0419_region0,5.0,
420,8131,1604,city0420_region0,16.1,
421,6184,4093,city0421_region0,29.7,
422,2566,1974,city0422_region0,15.0,
423,9467,4609,city0423_region0,6.3,
424,7837,3735,city0424_region0,36.7,
425,640,2684,city0425_region0,12.1,
426,8955,3641,city0426_region0,12.8,
427,3604,4385,city0427_region0,38.5,
428,795,3809,city0428_region0,10.8,
429,8028,4831,city0429_region0,4.5,
430,7193,4710,city0430_region0,8.5,
431,4013,2494,city0431_region0,10.4,
432,7205,744,city0432_region0,17.2,
433,11605,4581,city0433_region0,30.8,
434,3854,1557,city0434_region0,10.0,
435,10472,3702,city0435_region0,29.3,
436,7930,1978,city0436_region0,24.4,
437,8088,2124,city0437_region0,20.6,
438,2649,2339,city0438_region0,32.3,
439,7963,3938,city0439_region0,20.9,
440,2991,2933,city0440_region0,32.3,
441,9757,3937,city0441_region0,16.2,
442,6230,1345,city0442_region0,15.7,
443,3410,4952,city0443_region0,24.5,
444,3459,3019,city0444_region0,20.6,
445,2576,605,city0445_region0,28.6,
446,8338,4374,city0446_region0,5.1,
447,3513,2444,city0447_region0,34.0,
448,862,1723,city0448_region0,7.6,
449,5060,2272,city0449_region0,39.6,
450,10333,2581,city0450_region0,25.6,
451,6436,1511,city0451_region0,18.0,
452,7771,4621,city0452_region0,11.4,
453,3814,4443,city0453_region0,11.0,
454,6594,3968,city0454_region0,20.9,
455,11905,2652,city0455_region0,2.2,
456,7568,2412,city0456_region0,11.2,
457,6631,3367,city0457_region0,45.3,
458,7539,3961,city0458_region0,5.8,
459,11875,2497,city0459_region0,20.9,
460,6918,2934,city0460_region0,42.5,
461,9185,3848,city0461_region0,8.0,
462,6738,1401,city0462_region0,21.2,
463,5853,4610,city0463_region0,5.1,
464,6609,4388,city0464_region0,14.3,
465,8603,4083,city0465_region0,22.5,
466,9681,3437,city0466_region0,24.8,
467,4838,1952,city0467_region0,24.4,
468,8320,4699,city0468_region0,13.0,
469,8074,4740,city0469_region0,21.8,
470,11376,4574,city0470_region0,20.6,
471,7414,4389,city0471_region0,3.0,
472,3241,3365,city0472_region0,9.2,
473,8276,2275,city0473_region0,14.8,
474,6218,3369,city0474_region0,11.7,
475,10130,4014,city0475_region0,12.6,
476,3849,437,city0476_region0,1.0,
477,12664,3299,city0477_region0,16.5,
478,9128,3266,city0478_region0,21.4,
479,8085,4181,city0479_region0,9.2,
480,3352,2906,city0480_region0,18.4,
481,6476,5691,city0481_region0,18.4,
482,3033,3327,city0482_region0,38.4,
483,2020,2887,city0483_region0,22.8,
484,2775,453,city0484_region0,11.4,
485,9172,2368,city0485_region0,27.5,
486,10482,731,city0486_region0,15.5,
487,5644,3383,city0487_region0,7.6,
488,11716,4923,city0488_region0,18.1,
489,3534,971,city0489_region0,18.4,
490,8548,3505,city0490_region0,32.5,
491,3780,2426,city0491_region0,11.4,
492,3087,3271,city0492_region0,12.2,
493,10033,4594,city0493_region0,12.0,
494,6861,537,city0494_region0,9.8,
495,7961,3713,city0495_region0,40.8,
496,3999,1935,city0496_region0,5.8,
497,8178,2345,city0497_region0,9.2,
498,9781,4028,city0498_region0,28.3,
499,3796,2774,city0499_region0,32.2,
500,3700,2161,city0500_region0,31.1,
501,7537,5700,city0501_region0,19.1,
502,7326,2318,city0502_region0,30.0,
503,8844,4981,city0503_region0,12.0,
504,10408,3651,city0504_region0,10.8,
505,3944,2543,city0505_region0,44.3,
506,7237,4872,city0506_region0,17.3,
507,3766,2680,city0507_region0,12.5,
508,10598,4465,city0508_region0,6.0,
509,5262,1375,city0509_region0,35.9,
510,10331,4006,city0510_region0,20.2,
511,7640,2450,city0511_region0,29.2,
512,11105,4854,city0512_region0,13.4,
513,6285,4253,city0513_region0,12.0,
514,11313,3099,city0514_region0,7.3,
515,5089,2662,city0515_region0,12.2,
516,7179,3614,city0516_region0,2.0,
517,10687,4551,city0517_region0,27.9,
518,7408,2343,city0518_region0,12.7,
519,10171,3491,city0519_region0,34.5,
